customer_id,segment,city,state,country,zipcode,type
20755,Consumer,Caguas,PR,Puerto Rico,725.0,DEBIT
19492,Consumer,Caguas,PR,Puerto Rico,725.0,TRANSFER
19491,Consumer,San Jose,CA,EE. UU.,95125.0,CASH
19490,Home Office,Los Angeles,CA,EE. UU.,90027.0,DEBIT
19489,Corporate,Caguas,PR,Puerto Rico,725.0,PAYMENT
19488,Consumer,Tonawanda,NY,EE. UU.,14150.0,TRANSFER
19487,Home Office,Caguas,PR,Puerto Rico,725.0,DEBIT
19486,Corporate,Miami,FL,EE. UU.,33162.0,TRANSFER
19485,Corporate,Caguas,PR,Puerto Rico,725.0,CASH
19484,Corporate,San Ramon,CA,EE. UU.,94583.0,CASH
19483,Corporate,Caguas,PR,Puerto Rico,725.0,TRANSFER
19482,Consumer,Freeport,NY,EE. UU.,11520.0,TRANSFER
19481,Corporate,Salinas,CA,EE. UU.,93905.0,TRANSFER
19480,Corporate,Caguas,PR,Puerto Rico,725.0,DEBIT
19479,Corporate,Peabody,MA,EE. UU.,1960.0,TRANSFER
19478,Corporate,Caguas,PR,Puerto Rico,725.0,DEBIT
19477,Corporate,Canovanas,PR,Puerto Rico,729.0,PAYMENT
19476,Corporate,Paramount,CA,EE. UU.,90723.0,CASH
19475,Consumer,Caguas,PR,Puerto Rico,725.0,DEBIT
19474,Consumer,Mount Prospect,IL,EE. UU.,60056.0,PAYMENT
19473,Corporate,Long Beach,CA,EE. UU.,90813.0,TRANSFER
19472,Corporate,Caguas,PR,Puerto Rico,725.0,TRANSFER
19471,Corporate,Rancho Cordova,CA,EE. UU.,95670.0,TRANSFER
19470,Corporate,Caguas,PR,Puerto Rico,725.0,TRANSFER
19469,Corporate,Billings,MT,EE. UU.,59102.0,TRANSFER
19468,Corporate,Caguas,PR,Puerto Rico,725.0,DEBIT
19467,Consumer,Wilkes Barre,PA,EE. UU.,18702.0,TRANSFER
19466,Corporate,Caguas,PR,Puerto Rico,725.0,PAYMENT
19465,Corporate,Roseville,MI,EE. UU.,48066.0,DEBIT
19464,Consumer,Bellflower,CA,EE. UU.,90706.0,TRANSFER
19463,Consumer,Caguas,PR,Puerto Rico,725.0,DEBIT
19462,Consumer,Wheaton,IL,EE. UU.,60187.0,DEBIT
19461,Consumer,Caguas,PR,Puerto Rico,725.0,PAYMENT
19460,Consumer,Detroit,MI,EE. UU.,48238.0,DEBIT
19459,Consumer,Dallas,TX,EE. UU.,75220.0,PAYMENT
19458,Corporate,Caguas,PR,Puerto Rico,725.0,PAYMENT
19457,Corporate,Carlisle,PA,EE. UU.,17013.0,CASH
19456,Corporate,Dallas,TX,EE. UU.,75228.0,DEBIT
19455,Consumer,Caguas,PR,Puerto Rico,725.0,DEBIT
19454,Consumer,Newark,DE,EE. UU.,19702.0,TRANSFER
19453,Consumer,Panorama City,CA,EE. UU.,91402.0,PAYMENT
19452,Home Office,Caguas,PR,Puerto Rico,725.0,DEBIT
19451,Home Office,Atlanta,GA,EE. UU.,30318.0,CASH
19450,Home Office,Caguas,PR,Puerto Rico,725.0,PAYMENT
19449,Consumer,Fremont,CA,EE. UU.,94539.0,DEBIT
19448,Corporate,Caguas,PR,Puerto Rico,725.0,TRANSFER
19447,Corporate,Rochester,NY,EE. UU.,14609.0,TRANSFER
19446,Corporate,Dallas,TX,EE. UU.,75211.0,TRANSFER
